Name,City,Country,Description,Address,Rating,StarterPricePerNight,Visits,Year
HOTEL WELLINGTON,Wellington,New Zealand,Is a 5-Star luxury hotel located in 1127 Eraad Lane which was opened in 2012. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,1127 Eraad Lane,5,200,54,2012
HOTEL WEST COVINA,West Covina,United States,Is a 4-Star luxury hotel located in 1720 Fogug Boulevard which was opened in 2016. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,1720 Fogug Boulevard,4,350,7,2016
HOTEL WESTMINSTER,Westminster,United States,Is a 3-Star luxury hotel located in 830 Wapcig View which was opened in 2015. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,830 Wapcig View,3,600,44,2015
HOTEL ROCKFORD,Rockford,United States,Is a 4-Star luxury hotel located in 67 Wuhenu Street which was opened in 2009. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,67 Wuhenu Street,4,450,80,2009
HOTEL ROME,Rome,Italy,Is a 5-Star luxury hotel located in 512 Tadta Pass which was opened in 2014. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,512 Tadta Pass,5,325,24,2014
HOTEL BARI,Bari,Italy,Is a 4-Star luxury hotel located in 1399 Hoca Key which was opened in 2000. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,1399 Hoca Key,4,250,33,2000
HOTEL BARRIE,Barrie,Canada,Is a 3-Star luxury hotel located in 1201 Botdip Court which was opened in 2013. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,1201 Botdip Court,3,450,2,2013
HOTEL BARCELONA,Barcelona,Spain,Is a 4-Star luxury hotel located in 750 Hafek Center which was opened in 2015. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,750 Hafek Center,4,350,56,2015
HOTEL NEW HAVEN,New Haven,United States,Is a 5-Star luxury hotel located in 483 Dunzek Road which was opened in 2018. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,483 Dunzek Road,5,250,6,2018
HOTEL NEWARK,Newark,United States,Is a 3-Star luxury hotel located in 56 Zinun Trail which was opened in 2014. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,56 Zinun Trail,3,300,100,2014
HOTEL NEW ORLEANS,New Orleans,United States,Is a 5-Star luxury hotel located in 655 Zivi Pike which was opened in 2017. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,655 Zivi Pike,5,400,2,2017
HOTEL SEVILLE,Seville,Spain,Is a 4-Star luxury hotel located in 1367 Zicsu Boulevard which was opened in 2000. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,1367 Zicsu Boulevard,4,250,1,2000
HOTEL SEATTLE,Seattle,United States,Is a 5-Star luxury hotel located in 1319 Abcus Lane which was opened in 2013. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,1319 Abcus Lane,5,300,0,2013
HOTEL ORLANDO,Orlando,United States,Is a 4-Star luxury hotel located in 502 Hulnek Street which was opened in 2015. It has quality rooms and a modernwell equipped conference area which can host events of every kind for up to 100 persons. Its an ideal stopover on your journey. Is set in the heart of the lush is perfect for holiday or business.,502 Hulnek Street,4,200,12,2015